,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
207,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
208,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
209,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
210,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
211,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
212,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
213,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
214,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,25410.0,contemplado
215,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
216,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
217,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
218,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
219,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
220,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
221,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
222,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
223,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
224,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
225,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
226,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
227,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
228,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
229,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
230,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
231,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
232,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
233,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
