,uf,total_qtd_contemplados_uf,total_valor_transacao_uf,qtd_contemplados_territorios_especiais,valor_transacao_territorios_especiais,perc_qtd_contemplados_territorios_especiais_uf,perc_valor_transacao_territorios_especiais_uf,qtd_contemplados_favela_comunidade_urbana,perc_qtd_contemplados_favela_comunidade_urbana,valor_transacao_favela_comunidade_urbana,perc_valor_transacao_favela_comunidade_urbana,qtd_contemplados_agrupamento_quilombola,perc_qtd_contemplados_agrupamento_quilombola,valor_transacao_agrupamento_quilombola,perc_valor_transacao_agrupamento_quilombola,qtd_contemplados_agrupamento_indigena,perc_qtd_contemplados_agrupamento_indigena,valor_transacao_agrupamento_indigena,perc_valor_transacao_agrupamento_indigena
10,MG,3284,110795695.1,94,3181407.3,0.028623629719853837,0.0287141779031088,70.0,0.021315468940316686,2069407.3,0.018677686873413552,23.0,0.007003654080389768,1049500.0,0.009472389690346372,1.0,0.0003045066991473812,62500.0,0.0005641013393488788
11,MS,520,23316653.57,32,510670.0,0.06153846153846154,0.021901513373987998,1.0,0.0019230769230769232,10000.0,0.00042887801073076545,1.0,0.0019230769230769232,5000.0,0.00021443900536538272,30.0,0.057692307692307696,495670.0,0.021258196357891848
12,MT,239,24571646.22,1,73000.0,0.0041841004184100415,0.0029709039169130607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0041841004184100415,73000.0,0.0029709039169130607
13,PA,573,73195925.77,148,27659392.300000004,0.2582897033158813,0.37788158301204866,145.0,0.2530541012216405,27501772.760000005,0.37572819075227615,3.0,0.005235602094240838,157619.53999999998,0.0021533922597724935,0.0,0.0,0.0,0.0
14,PB,1755,37177439.73,106,2000272.0,0.0603988603988604,0.05380338222661144,59.0,0.03361823361823362,1001515.0,0.026938783500786274,1.0,0.0005698005698005698,4521.0,0.00012160600710628872,46.0,0.02621082621082621,994236.0,0.026742992718718883
15,PE,2241,75277246.24,188,6576564.89,0.08389112003569835,0.08736457852127721,163.0,0.07273538598839803,5271938.89,0.07003363105488647,13.0,0.005800981704596163,569792.0,0.0075692460665123295,12.0,0.00535475234270415,734834.0,0.009761701399878414
16,PI,629,31576333.77,37,1031000.0,0.058823529411764705,0.03265103566201631,37.0,0.058823529411764705,1031000.0,0.03265103566201631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PR,671,73147845.91,14,1261428.0899999999,0.020864381520119227,0.01724491096500698,11.0,0.01639344262295082,667333.71,0.009123080819373372,2.0,0.0029806259314456036,300000.0,0.004101282768724529,1.0,0.0014903129657228018,294094.38,0.00402054737690908
18,RJ,853,85881913.38,40,2135796.0,0.04689331770222743,0.024868984818139598,39.0,0.04572098475967175,1935796.0,0.022540205775746076,1.0,0.0011723329425556857,200000.0,0.0023287790423935245,0.0,0.0,0.0,0.0
19,RN,946,27951151.25,92,2411434.52,0.09725158562367865,0.08627317345291816,82.0,0.08668076109936575,2074117.06,0.07420506731364061,7.0,0.007399577167019027,207317.46,0.007417134920337136,3.0,0.003171247357293869,130000.0,0.004650971218940401
20,RO,31,466832.92,1,2892.5,0.03225806451612903,0.006196006913993983,1.0,0.03225806451612903,2892.5,0.006196006913993983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RR,480,14908203.2,7,181649.96,0.014583333333333334,0.012184564267275348,5.0,0.010416666666666666,64150.0,0.00430300010936261,0.0,0.0,0.0,0.0,2.0,0.004166666666666667,117499.95999999999,0.007881564157912739
22,RS,620,70502784.62,9,1300000.0,0.014516129032258065,0.01843898800603147,8.0,0.012903225806451613,1220000.0,0.017304281051814148,0.0,0.0,0.0,0.0,1.0,0.0016129032258064516,80000.0,0.0011347069542173211
23,SC,1231,44341958.44,19,536180.0,0.015434606011372868,0.012091933213223228,15.0,0.012185215272136474,411180.0,0.009272932781180064,2.0,0.0016246953696181965,60000.0,0.0013531202073807185,2.0,0.0016246953696181965,65000.0,0.001465880224662445
24,SE,301,22540730.32,13,369913.0,0.04318936877076412,0.01641087022241611,10.0,0.03322259136212625,219963.0,0.009758468198558351,3.0,0.009966777408637873,149950.0,0.006652402023857761,0.0,0.0,0.0,0.0
25,SP,1211,290180006.82,23,3800817.24,0.018992568125516102,0.013098136159179515,23.0,0.018992568125516102,3800817.24,0.013098136159179515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,TO,485,21172903.86,5,165000.0,0.010309278350515464,0.007792979229066409,5.0,0.010309278350515464,165000.0,0.007792979229066409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
