,uf,total_contemplados_uf,valor_total_uf,qtd_ate_2_mil,perc_qtd_ate_2_mil,valor_ate_2_mil,perc_valor_ate_2_mil,qtd_de_2_a_10_mil,perc_qtd_de_2_a_10_mil,valor_de_2_a_10_mil,perc_valor_de_2_a_10_mil,qtd_de_10_a_50_mil,perc_qtd_de_10_a_50_mil,valor_de_10_a_50_mil,perc_valor_de_10_a_50_mil,qtd_de_50_a_200_mil,perc_qtd_de_50_a_200_mil,valor_de_50_a_200_mil,perc_valor_de_50_a_200_mil,qtd_acima_de_200_mil,perc_qtd_acima_de_200_mil,valor_acima_de_200_mil,perc_valor_acima_de_200_mil
16,PI,629,31576333.77,0,0.0,0.0,0.0,293,0.465818759936407,1980000.0,0.06270518972918748,163,0.2591414944356121,5750000.0,0.18209840451657983,167,0.2655007949125596,18300000.0,0.579547965678854,6,0.009538950715421303,5546333.77,0.17564844007537864
17,PR,671,73147845.91,0,0.0,0.0,0.0,182,0.27123695976154993,1088850.95,0.014885618796481112,181,0.2697466467958271,7388895.62,0.10101316762070049,216,0.32190760059612517,30191958.72,0.4127525335079276,92,0.13710879284649777,34478140.62,0.4713486800748908
18,RJ,853,85881913.38,0,0.0,0.0,0.0,1,0.0011723329425556857,8048.17,9.371204812810145e-05,432,0.5064478311840562,15647474.17,0.18219754956745005,372,0.4361078546307151,39609692.0,0.46121110302631224,48,0.05627198124267292,30616699.04,0.3564976353581097
19,RN,946,27951151.25,0,0.0,0.0,0.0,214,0.226215644820296,1814374.99,0.0649123527604252,655,0.6923890063424947,16518124.15,0.5909640000964183,72,0.07610993657505286,5167242.0600000005,0.18486687771044852,5,0.005285412262156448,4451410.05,0.15925676943270806
20,RO,31,466832.92,2,0.06451612903225806,3115.0,0.006672622830455059,15,0.4838709677419355,57812.5,0.12383980975463342,13,0.41935483870967744,280000.0,0.599786321838657,1,0.03225806451612903,125905.42,0.2697012455762546,0,0.0,0.0,0.0
21,RR,480,14908203.2,1,0.0020833333333333333,1000.0,6.707716460424956e-05,212,0.44166666666666665,1871050.0,0.12550472883278113,189,0.39375,3975176.6,0.26664357512916115,76,0.15833333333333333,7905514.16,0.5302794745915457,2,0.004166666666666667,1155462.44,0.07750514428190783
22,RS,620,70502784.62,13,0.020967741935483872,16802.8,0.00023832817512903505,119,0.19193548387096773,315981.82,0.0044818346070030725,0,0.0,0.0,0.0,443,0.714516129032258,48920000.0,0.6938733025038919,45,0.07258064516129033,21250000.0,0.30140653471397594
23,SC,699,27961958.44,2,0.002861230329041488,3242.44,0.00011595897358039274,6,0.008583690987124463,36711.34,0.0013129030314086969,564,0.8068669527896996,13593352.58,0.4861373572658811,113,0.16165951359084407,9730612.08,0.3479946549838302,14,0.020028612303290415,4598040.0,0.16443912574529954
24,SE,301,22540730.32,0,0.0,0.0,0.0,75,0.24916943521594684,746000.0,0.033095644613523774,109,0.36212624584717606,3304441.14,0.14659867240716803,97,0.3222591362126246,9895357.91,0.43899899291284367,20,0.0664451827242525,8594931.27,0.3813066900664645
25,SP,1211,290180006.82,0,0.0,0.0,0.0,129,0.10652353426919901,1054877.49,0.0036352521373202167,197,0.16267547481420314,4236662.37,0.014600118100583068,428,0.35342691990090835,58241851.33,0.2007093871430215,457,0.37737407101568954,226646615.63,0.7810552426190752
26,TO,485,21172903.86,0,0.0,0.0,0.0,93,0.19175257731958764,697500.0,0.03294304855923528,296,0.6103092783505155,8944450.0,0.42244795797226087,83,0.1711340206185567,7045953.86,0.3327816489693351,13,0.026804123711340205,4485000.0,0.21182734449916876
