,uf,total_contemplados_uf,valor_total_uf,qtd_ate_2_mil,perc_qtd_ate_2_mil,valor_ate_2_mil,perc_valor_ate_2_mil,qtd_de_2_a_10_mil,perc_qtd_de_2_a_10_mil,valor_de_2_a_10_mil,perc_valor_de_2_a_10_mil,qtd_de_10_a_50_mil,perc_qtd_de_10_a_50_mil,valor_de_10_a_50_mil,perc_valor_de_10_a_50_mil,qtd_de_50_a_200_mil,perc_qtd_de_50_a_200_mil,valor_de_50_a_200_mil,perc_valor_de_50_a_200_mil,qtd_acima_de_200_mil,perc_qtd_acima_de_200_mil,valor_acima_de_200_mil,perc_valor_acima_de_200_mil
10,MG,21514,268555726.93,5743,0.26694245607511385,7318839.25,0.027252590490865536,9103,0.4231198289485916,45040853.33,0.16771511017428445,5706,0.2652226457190667,128395345.55,0.4780957271615611,942,0.043785442037742865,77627297.95,0.28905471068294825,20,0.0009296272194849865,10173390.85,0.037881861490340625
11,MS,2188,42351939.74,299,0.136654478976234,451245.73,0.010654664999294315,1172,0.5356489945155393,6765191.31,0.15973746070502884,597,0.27285191956124316,15272264.35,0.3606036569695969,100,0.04570383912248629,9292376.28,0.21940851675380663,20,0.009140767824497258,10570862.07,0.24959570057227323
12,MT,2434,48393906.41,495,0.20336894001643385,606439.95,0.012531328735112954,1050,0.4313886606409203,5283851.66,0.10918423520586382,646,0.2654067378800329,14864071.85,0.3071475925929494,230,0.09449465899753492,19702557.15,0.4071288848450703,13,0.005341002465078061,7936985.8,0.1640079586210036
13,PA,7325,124061836.12,2011,0.2745392491467577,2682920.18,0.021625668810873633,3584,0.48928327645051195,17756407.03,0.14312545731489051,1537,0.20982935153583618,32077939.58,0.25856412079031543,181,0.024709897610921502,16078852.959999999,0.12960353854869255,12,0.0016382252559726963,55465716.370000005,0.44708121453522787
14,PB,10558,70229086.67,5627,0.5329607880280356,6435995.25,0.09164287270660586,3568,0.33794279219549156,17788591.59,0.25329379084177683,1212,0.1147944686493654,30098609.51,0.4285775443931172,146,0.01382837658647471,12340831.7,0.17572251449016316,5,0.0004735745406326956,3565058.62,0.050763277568336915
15,PE,13472,141508869.19,5896,0.43764845605700714,6764150.89,0.04780019039596708,4712,0.3497624703087886,25591253.79,0.18084558188108577,2263,0.16797802850356294,54357972.16,0.38413120302032144,580,0.043052256532066506,45808460.5,0.3237144128294479,21,0.0015587885985748218,8987031.85,0.06350861187317781
16,PI,6084,57291132.26,3649,0.5997698882314267,3852440.89,0.06724323185858433,1695,0.2785996055226824,8540886.64,0.14907868465994953,507,0.08333333333333333,13358754.93,0.23317317014044994,221,0.03632478632478633,24100744.5,0.42067146431362923,12,0.0019723865877712033,7438305.3,0.12983344902738705
17,PR,6045,153756363.91,927,0.1533498759305211,1171321.75,0.007618037525169517,2481,0.4104218362282878,14545720.63,0.09460239732590332,2102,0.3477253928866832,52175691.0,0.339340042084636,430,0.07113316790736146,46667044.82,0.30351293197409485,105,0.017369727047146403,39196585.71,0.2549265910901964
18,RJ,5739,186135071.11,654,0.11395713538944068,803569.09,0.004317128874252374,2303,0.4012894232444677,12685496.04,0.06815210032344343,2038,0.35511413138177383,52006895.43,0.2794040645852578,642,0.11186617877679038,69066059.65,0.3710534465006013,102,0.017773131207527444,51573050.9,0.27707325971644503
19,RN,5763,54056010.1,2342,0.40638556307478746,2823543.49,0.052233664393221656,2145,0.3722019781363873,11872721.77,0.2196374047591796,1161,0.20145757418011453,25828088.97,0.4778023557828216,109,0.018913760194343224,8171014.07,0.15115829035262077,6,0.001041124414367517,5360641.8,0.09916828471215636
20,RO,553,8929020.34,6,0.0108499095840868,8655.0,0.000969311264890679,323,0.5840867992766727,2060719.52,0.23078898261306907,194,0.3508137432188065,4232886.96,0.474059504718297,30,0.054249547920433995,2626758.86,0.29418220140374324,0,0.0,0.0,0.0
21,RR,872,20016691.95,34,0.0389908256880734,63160.3,0.003155381526466465,454,0.5206422018348624,3322475.13,0.16598522564563922,295,0.338302752293578,6214890.46,0.3104853926674932,86,0.09862385321100918,8787835.62,0.4390253715224907,3,0.0034403669724770644,1628330.44,0.08134862863791037
22,RS,7074,151153937.87,894,0.1263782866836302,1167230.2,0.007722128953093347,3567,0.5042408821034775,19638398.2,0.1299231662551194,1940,0.2742437093582132,43994855.7,0.29105993743833386,624,0.08821034775233248,63578007.53,0.42061760630199585,49,0.006926774102346622,22775446.24,0.15067716105145754
23,SC,5407,99358171.9,493,0.09117810245977437,561535.59,0.005651629647183554,2096,0.3876456445348622,12943064.42,0.1302667326953909,2540,0.4697614203809876,56783240.92,0.5715004597422549,258,0.04771592380247827,22557701.35,0.22703418268105233,20,0.0036989088218975404,6512629.62,0.06554699523411824
24,SE,3070,40450848.71,1007,0.32801302931596094,1377996.8,0.034065955201067026,1535,0.5,7238778.41,0.1789524482390026,372,0.12117263843648209,9396011.85,0.23228219307243306,135,0.043973941368078175,13603130.38,0.33628788551566585,21,0.0068403908794788275,8834931.27,0.21841151797183142
25,SP,16553,556507880.43,2349,0.14190781127288105,3095737.63,0.005562792080514654,7244,0.4376245997704344,43721254.23,0.07856358511260911,5270,0.3183712922128919,119616890.2,0.21494195213835063,1190,0.07189029179000786,119288597.59,0.2143520366644739,500,0.030206004953784813,270785400.78,0.48657963400405174
26,TO,2153,32114845.82,538,0.24988388295401764,737462.04,0.022963275119967555,968,0.44960520204366,4734306.49,0.14741800463671043,540,0.25081281932187643,14442965.43,0.4497286242926761,94,0.04366000928936368,7715111.86,0.24023505836653586,13,0.006038086391082211,4485000.0,0.13965503758411008
