,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
15,AP,Administração Pública,0,0.0,61,5092161.39,0.0,0.0,0.0,0.0
16,AP,Entidades sem fins lucrativos,37,3565836.69,61,5092161.39,0.6065573770491803,0.7002599518944156,0.6065573770491803,0.7002599518944156
17,AP,Entidades Empresariais,1,11881.4,61,5092161.39,0.01639344262295082,0.0023332724731256016,0.01639344262295082,0.0023332724731256016
18,AM,Microempresa-ME,65,2891294.77,263,13847304.63,0.24714828897338403,0.20879837970315526,0.24714828897338403,0.20879837970315526
19,AM,MEI,56,1146882.54,263,13847304.63,0.21292775665399238,0.08282352202430027,0.21292775665399238,0.08282352202430027
20,AM,Empresa de Pequeno Porte (EPP),36,2434327.89,263,13847304.63,0.13688212927756654,0.1757979588840749,0.13688212927756654,0.1757979588840749
21,AM,Administração Pública,2,146399.11,263,13847304.63,0.0076045627376425855,0.010572390361285782,0.0076045627376425855,0.010572390361285782
22,AM,Entidades sem fins lucrativos,98,5185088.25,263,13847304.63,0.3726235741444867,0.37444747469240874,0.3726235741444867,0.37444747469240874
23,AM,Entidades Empresariais,6,2043312.0699999998,263,13847304.63,0.022813688212927757,0.14756027433477498,0.022813688212927757,0.14756027433477498
24,BA,Microempresa-ME,475,10436295.86,1443,36179337.94,0.32917532917532916,0.2884601116059008,0.32917532917532916,0.2884601116059008
25,BA,MEI,259,4317569.08,1443,36179337.94,0.1794871794871795,0.11933797923998164,0.1794871794871795,0.11933797923998164
26,BA,Empresa de Pequeno Porte (EPP),101,2670453.18,1443,36179337.94,0.06999306999306999,0.07381155466218574,0.06999306999306999,0.07381155466218574
27,BA,Administração Pública,6,350023.22,1443,36179337.94,0.004158004158004158,0.009674671785881774,0.004158004158004158,0.009674671785881774
28,BA,Entidades sem fins lucrativos,566,15517520.22,1443,36179337.94,0.39223839223839224,0.42890558820435953,0.39223839223839224,0.42890558820435953
29,BA,Entidades Empresariais,36,2887476.38,1443,36179337.94,0.02494802494802495,0.0798100945016906,0.02494802494802495,0.0798100945016906
30,CE,Microempresa-ME,219,6726388.85,693,21194524.9,0.31601731601731603,0.317364455289111,0.31601731601731603,0.317364455289111
31,CE,MEI,125,911374.89,693,21194524.9,0.18037518037518038,0.04300048688517666,0.18037518037518038,0.04300048688517666
32,CE,Empresa de Pequeno Porte (EPP),54,2775270.7800000003,693,21194524.9,0.07792207792207792,0.1309428162742162,0.07792207792207792,0.1309428162742162
33,CE,Administração Pública,1,556.77,693,21194524.9,0.001443001443001443,2.6269520200474038e-05,0.001443001443001443,2.6269520200474038e-05
34,CE,Entidades sem fins lucrativos,272,10036454.83,693,21194524.9,0.3924963924963925,0.4735399768267512,0.3924963924963925,0.4735399768267512
35,CE,Entidades Empresariais,22,744478.78,693,21194524.9,0.031746031746031744,0.03512599520454455,0.031746031746031744,0.03512599520454455
36,DF,Microempresa-ME,9,3641929.0,66,13903499.02,0.13636363636363635,0.2619433420868469,0.13636363636363635,0.2619433420868469
37,DF,MEI,3,40486.37,66,13903499.02,0.045454545454545456,0.0029119554683149106,0.045454545454545456,0.0029119554683149106
38,DF,Empresa de Pequeno Porte (EPP),1,993.92,66,13903499.02,0.015151515151515152,7.148704067733303e-05,0.015151515151515152,7.148704067733303e-05
39,DF,Administração Pública,0,0.0,66,13903499.02,0.0,0.0,0.0,0.0
40,DF,Entidades sem fins lucrativos,53,10220089.73,66,13903499.02,0.803030303030303,0.7350732154041609,0.803030303030303,0.7350732154041609
41,DF,Entidades Empresariais,0,0.0,66,13903499.02,0.0,0.0,0.0,0.0
42,ES,Microempresa-ME,143,3633436.4,553,14633174.68,0.2585895117540687,0.24830130709544704,0.2585895117540687,0.24830130709544704
43,ES,MEI,268,4167619.41,553,14633174.68,0.484629294755877,0.28480623659171683,0.484629294755877,0.28480623659171683
44,ES,Empresa de Pequeno Porte (EPP),12,363284.47,553,14633174.68,0.0216998191681736,0.0248260871577322,0.0216998191681736,0.0248260871577322
45,ES,Administração Pública,1,660.0,553,14633174.68,0.0018083182640144665,4.5102994697525197e-05,0.0018083182640144665,4.5102994697525197e-05
46,ES,Entidades sem fins lucrativos,128,6357883.68,553,14633174.68,0.2314647377938517,0.4344842331917,0.2314647377938517,0.4344842331917
