,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
132,MOTOCICLISTA NO TRANSPORTE DE DOCUMENTOS E PEQUENOS VOLUMES,86,0.001429046194749086,707543.14,0.001164082343112831
133,ATOR,25,0.00041542040545031574,707047.89,0.0011632675351557831
134,TECNICO DE APOIO AO USUARIO DE INFORMATICA (HELPDESK),78,0.001296111665004985,706702.63,0.001162699497608584
135,MUSEOLOGO,17,0.0002824858757062147,704141.11,0.0011584851677183523
136,PROFESSOR INSTRUTOR DE ENSINO E APRENDIZAGEM EM SERVICOS,78,0.001296111665004985,702059.13,0.0011550597989744564
137,INSTRUTOR DE APRENDIZAGEM E TREINAMENTO INDUSTRIAL,32,0.0005317381189764042,701727.89,0.0011545148277726542
138,ARTISTA DE CIRCO (OUTROS),5,8.308408109006314e-05,698094.38,0.0011485368108922645
139,PRACA DO EXERCITO,63,0.0010468594217347956,695042.76,0.001143516146060591
140,AGENTE DE DEFESA AMBIENTAL,73,0.0012130275839149218,690795.35,0.001136528112815069
141,TECNICO EM MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA,60,0.0009970089730807576,684732.17,0.001126552691696415
142,PROGRAMADOR DE SISTEMAS DE INFORMACAO,47,0.0007809903622465936,684631.75,0.0011263874761183296
143,ORGANIZADOR DE EVENTO,47,0.0007809903622465936,684127.15,0.0011255572851135314
144,SUPERVISOR DE VENDAS COMERCIAL,58,0.0009637753406447325,681661.24,0.0011215002571693337
145,AGENTE DE VENDAS DE SERVICOS,64,0.0010634762379528083,680244.52,0.0011191694046122234
146,CUIDADOR DE IDOSOS,69,0.0011465603190428714,679311.15,0.0011176337815877514
147,TECNICO DE SISTEMAS AUDIOVISUAIS,23,0.00038218677301429045,672798.61,0.0011069190528394577
148,PROFESSOR DE LINGUA E LITERATURA BRASILEIRA NO ENSINO MEDIO,65,0.001080093054170821,672155.07,0.0011058602713903338
149,PSICOLOGO SOCIAL,34,0.0005649717514124294,649098.3,0.0010679262185688853
150,PROFESSOR LEIGO NO ENSINO FUNDAMENTAL,83,0.001379195746095048,631942.61,0.001039700892530225
151,CARTEIRO,72,0.0011964107676969093,626920.14,0.0010314376951147093
152,AGENTE DE COMBATE AS ENDEMIAS,91,0.0015121302758391492,619700.04,0.0010195588562844594
153,TECNICO EM SEGURANCA DO TRABALHO,65,0.001080093054170821,618562.98,0.001017688113153433
154,ADVOGADO,40,0.0006646726487205051,610854.38,0.001005005571774939
155,PROFESSOR DE ALUNOS COM DEFICIENCIA MULTIPLA,68,0.0011299435028248588,608377.37,0.0010009302816029306
156,AUXILIAR GERAL DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS),150,0.0024925224327018943,607922.9,0.0010001825667675151
157,AUXILIAR DE JUDICIARIO,27,0.000448654037886341,600603.5700000001,0.000988140470201621
158,ESCREVENTE,79,0.0013127284812229976,599349.33,0.0009860769371737607
159,SARGENTO DA POLICIA MILITAR,69,0.0011465603190428714,598768.62,0.0009851215265150282
160,INTERPRETE DE LINGUA DE SINAIS,45,0.0007477567298105683,585655.73,0.0009635475999892466
161,CHURRASQUEIRO,12,0.00019940179461615153,584917.88,0.0009623336554135621
162,PORTEIRO DE LOCAIS DE DIVERSAO,71,0.0011797939514788967,583808.63,0.0009605086665668073
163,TECNICO DE DESPORTO INDIVIDUAL E COLETIVO (EXCETO FUTEBOL),53,0.0008806912595546693,580071.21,0.0009543596922006692
164,INSTRUTOR DE AUTO-ESCOLA,54,0.000897308075772682,576020.7,0.0009476956078430681
165,BAILARINO (EXCETO DANCAS POPULARES),17,0.0002824858757062147,574040.21,0.0009444372150902086
166,VENDEDOR EM DOMICILIO,71,0.0011797939514788967,570302.39,0.0009382875826257712
167,PROFESSOR DE GEOGRAFIA DO ENSINO FUNDAMENTAL,42,0.0006979062811565304,570173.92,0.0009380762179044347
168,ANALISTA DE SUPORTE COMPUTACIONAL,52,0.0008640744433366567,568546.18,0.000935398185589432
169,REDATOR DE PUBLICIDADE,38,0.0006314390162844799,562217.2,0.0009249854581507709
170,AUXILIAR DE ENFERMAGEM,95,0.0015785975407111997,557887.58,0.0009178621692522478
171,FARMACEUTICO,69,0.0011465603190428714,551966.24,0.0009081201097905906
172,COBRADOR INTERNO,40,0.0006646726487205051,547217.19,0.0009003067554676867
173,PROFESSOR DE MATEMATICA DO ENSINO FUNDAMENTAL,49,0.0008142239946826188,542451.08,0.0008924653332523098
174,RECEPCIONISTA DE SEGURO SAUDE,4,6.646726487205052e-05,539936.48,0.0008883281982926076
175,SOLDADO DA POLICIA MILITAR,42,0.0006979062811565304,538347.28,0.0008857135737487602
176,AUXILIAR DE BIBLIOTECA,54,0.000897308075772682,534582.01,0.0008795187792885207
177,VISITADOR SANITARIO,67,0.0011133266866068462,532404.9,0.0008759368983165501
178,AUXILIAR EM SAUDE BUCAL,68,0.0011299435028248588,523765.14,0.0008617223699066886
179,FISIOTERAPEUTA GERAL,63,0.0010468594217347956,522929.61,0.0008603477177262703
