,uf,codigo_uf,unidade_da_federacao,populacao_ibge_2024,total_vinculos_a_rais_2024,percentual_populacao_com_vinculo_rais_2024,numero_contemplados_sem_vinculo_trabalho_formal,numero_contemplados_com_vinculo_trabalho_formal,numero_contemplados_total,percentual_contemplados_sem_vinculo_trabalho_formal,percentual_contemplados_com_vinculo_trabalho_formal,diferenca_pp_contemplados_com_vinculo_vs_populacao_uf,razao_contemplados_com_vinculo_vs_populacao_uf,percentual_numero_contemplados_no_total_geral,percentual_numero_contemplados_sem_vinculo_no_total_geral,percentual_numero_contemplados_com_vinculo_no_total_geral,valor_pago_sem_vinculo_trabalho_formal,valor_pago_com_vinculo_trabalho_formal,valor_pago_total,percentual_valor_pago_sem_vinculo_trabalho_formal,percentual_valor_pago_com_vinculo_trabalho_formal,percentual_valor_pago_no_total_geral,percentual_valor_pago_sem_vinculo_no_total_geral,percentual_valor_pago_com_vinculo_no_total_geral
12,MT,51,Mato Grosso,3836399,1209870,0.31536605029873066,817.0,980.0,1797.0,0.454646633277685,0.5453533667223149,0.22998731642358428,1.7292710049345155,0.013305788795592874,0.010911082026763535,0.016285562350438713,9943447.98,13405400.08,23348848.060000002,0.425864606016028,0.574135393983972,0.018489310056429224,0.015232244968628576,0.021974617294850195
13,PA,15,Pará,8664306,1445663,0.16685271734400886,3804.0,3046.0,6850.0,0.5553284671532847,0.44467153284671534,0.2778188155027065,2.665054186261247,0.050720452559716855,0.05080263895937392,0.05061818665248604,26506961.41,25396813.72,51903775.129999995,0.5106942865641226,0.4893057134358774,0.041101170773465125,0.04060568631557363,0.041631376808979256
14,PB,25,Paraíba,4145040,811007,0.195657219230695,5502.0,3776.0,9278.0,0.5930157361500323,0.40698426384996766,0.21132704461927265,2.080088153405174,0.068698446547307,0.07347952669676007,0.0627492688114863,21774385.23,22747417.68,44521802.91,0.48907240513185235,0.5109275948681478,0.035255590175536165,0.033355911403344804,0.03728839087092051
15,PE,26,Pernambuco,9539029,1919501,0.20122603673812084,7216.0,4846.0,12062.0,0.5982424141933345,0.40175758580666554,0.2005315490685447,1.996548718640819,0.0893124231788766,0.09637009535511099,0.08053044403084286,51941992.23,40487318.36,92429310.59,0.5619645099421486,0.4380354900578513,0.07319222676035124,0.07956929541918939,0.0663682785255419
16,PI,22,Piauí,3375646,568830,0.16850996816609323,3541.0,1753.0,5294.0,0.668870419342652,0.33112958065734793,0.1626196124912547,1.9650444674641878,0.03919913516075051,0.04729025882101552,0.02913121510236639,10382198.81,8439485.78,18821684.59,0.5516083727976232,0.44839162720237674,0.014904373923482797,0.015904361938133667,0.013834310731055052
17,PR,41,Paraná,11824665,3717135,0.3143543601446637,2015.0,1881.0,3896.0,0.5171971252566735,0.4828028747433265,0.16844851459866278,1.5358555056183854,0.028847720171190784,0.026910440984000642,0.031258308960382876,36184064.59,29786280.82,65970345.410000004,0.5484898459318223,0.4515101540681777,0.052240100568594065,0.05542992097953923,0.048826750246191576
18,RJ,33,Rio de Janeiro,17219679,4744216,0.2755112914706482,2180.0,1801.0,3981.0,0.5476011052499372,0.4523988947500628,0.1768876032794146,1.642033951985084,0.029477098049669023,0.029114025481449826,0.029928875299122575,21532592.75,19753896.56,41286489.31,0.5215408989687237,0.47845910103127626,0.032693634393971924,0.03298551249399865,0.03238130263905244
19,RN,24,Rio Grande do Norte,3446071,709350,0.20584311814817513,2832.0,1955.0,4787.0,0.5916022561102987,0.4083977438897013,0.20255462574152616,1.9840242781190198,0.03544508122676855,0.03782152301076418,0.03248803509704866,15028523.41,13214690.29,28243213.7,0.5321109548521386,0.46788904514786145,0.022365023479847406,0.023022009121818652,0.021661998900425423
20,RO,11,Rondônia,1746227,413955,0.23705680876541252,202.0,269.0,471.0,0.4288747346072187,0.5711252653927813,0.3340684566273688,2.409233754420264,0.003487493891332356,0.0026977216271802133,0.00447022068598777,2824450.74,3712696.79,6537147.53,0.43206164876012826,0.5679383512398717,0.005176587181354524,0.004326741152569921,0.006085987035462563
21,RR,14,Roraima,716793,148049,0.2065435906879671,284.0,477.0,761.0,0.3731931668856767,0.6268068331143233,0.42026324242635615,3.034743566849591,0.005634783123787522,0.0037928363471246562,0.007926748205264558,5007177.89,7784021.62,12791199.51,0.39145491289424816,0.6085450871057518,0.010128998789417603,0.007670433875189915,0.012759850141998881
22,RS,43,Rio Grande do Sul,11229915,3287525,0.29274709559244216,1881.0,1609.0,3490.0,0.5389684813753581,0.4610315186246418,0.16828442303219965,1.5748457476294915,0.025841515245753552,0.0251208632709207,0.026738234512097846,14443183.81,12884976.5,27328160.310000002,0.5285091878180658,0.4714908121819342,0.021640417888924023,0.022125334628728073,0.021121520115096656
23,SC,42,Santa Catarina,8058441,2863776,0.3553759343773814,1444.0,1491.0,2935.0,0.4919931856899489,0.5080068143100511,0.15263087993266972,1.429491322196814,0.02173204792157211,0.019284703117070433,0.024777319861738898,19012931.14,19362166.88,38375098.019999996,0.4954497088213562,0.5045502911786439,0.030388183773107435,0.02912567403969529,0.03173916516089713
24,SE,28,Sergipe,2291077,467807,0.20418650267974406,1453.0,1228.0,2681.0,0.5419619544945916,0.45803804550540844,0.25385154282566436,2.2432337078803752,0.019851318731766553,0.01940489863511312,0.020406806700345653,7686573.93,10391074.6,18077648.53,0.4251976642451074,0.5748023357548925,0.014315192248603033,0.011774967527032214,0.017033425802629124
25,SP,35,São Paulo,45973194,15994587,0.34791115448711263,6016.0,5547.0,11563.0,0.5202802040992822,0.4797197959007178,0.13180864141360515,1.3788571872836795,0.08561760480992787,0.08034402628275328,0.09217960648763626,101164119.86,79248670.24,180412790.1,0.560736962185033,0.43926303781496695,0.1428639222685654,0.1549720639000339,0.12990729029027112
26,TO,17,Tocantins,1577342,408312,0.2588607923963224,887.0,945.0,1832.0,0.48417030567685587,0.5158296943231441,0.25696890192682165,1.9926914753988536,0.013564944392613324,0.0118459360559844,0.015703935123637332,7619752.41,10684356.4,18304108.810000002,0.416286446343519,0.5837135536564808,0.014494519910577026,0.011672604467069175,0.017514183950545947
