,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
54,MA,Microempresa-ME,251,21865465.65,902,70451895.72,0.27827050997782704,0.3103602170891307,0.27827050997782704,0.3103602170891307
55,MA,MEI,84,2558573.27,902,70451895.72,0.09312638580931264,0.03631659934558252,0.09312638580931264,0.03631659934558252
56,MA,Empresa de Pequeno Porte (EPP),72,6122836.11,902,70451895.72,0.07982261640798226,0.08690803912976666,0.07982261640798226,0.08690803912976666
57,MA,Administração Pública,2,57040.53,902,70451895.72,0.0022172949002217295,0.0008096379723648408,0.0022172949002217295,0.0008096379723648408
58,MA,Entidades sem fins lucrativos,486,29623643.8,902,70451895.72,0.5388026607538803,0.4204804355830895,0.5388026607538803,0.4204804355830895
59,MA,Entidades Empresariais,7,10224336.36,902,70451895.72,0.007760532150776054,0.14512507088006574,0.007760532150776054,0.14512507088006574
60,MT,Microempresa-ME,189,3943730.73,637,25045058.35,0.2967032967032967,0.1574654239126578,0.2967032967032967,0.1574654239126578
61,MT,MEI,187,3737502.71,637,25045058.35,0.29356357927786497,0.14923114403524637,0.29356357927786497,0.14923114403524637
62,MT,Empresa de Pequeno Porte (EPP),59,1270088.44,637,25045058.35,0.09262166405023547,0.050712137390568304,0.09262166405023547,0.050712137390568304
63,MT,Administração Pública,2,77743.53,637,25045058.35,0.0031397174254317113,0.003104146491237861,0.0031397174254317113,0.003104146491237861
64,MT,Entidades sem fins lucrativos,185,15659700.15,637,25045058.35,0.2904238618524333,0.6252610767025824,0.2904238618524333,0.6252610767025824
65,MT,Entidades Empresariais,15,356292.79,637,25045058.35,0.023547880690737835,0.014226071467707319,0.023547880690737835,0.014226071467707319
66,MS,Microempresa-ME,89,1776048.54,372,18129391.55,0.239247311827957,0.09796514875315823,0.239247311827957,0.09796514875315823
67,MS,MEI,121,2306500.64,372,18129391.55,0.32526881720430106,0.12722438222147617,0.32526881720430106,0.12722438222147617
68,MS,Empresa de Pequeno Porte (EPP),16,717418.14,372,18129391.55,0.043010752688172046,0.039572102462534106,0.043010752688172046,0.039572102462534106
69,MS,Administração Pública,5,1665246.4600000002,372,18129391.55,0.013440860215053764,0.0918534113738638,0.013440860215053764,0.0918534113738638
70,MS,Entidades sem fins lucrativos,135,10851922.85,372,18129391.55,0.3629032258064516,0.5985817461149158,0.3629032258064516,0.5985817461149158
71,MS,Entidades Empresariais,6,812254.92,372,18129391.55,0.016129032258064516,0.04480320907405191,0.016129032258064516,0.04480320907405191
72,MG,Microempresa-ME,1370,26032501.73,4224,106502028.22,0.3243371212121212,0.24443198092176202,0.3243371212121212,0.24443198092176202
73,MG,MEI,953,17372965.86,4224,106502028.22,0.2256155303030303,0.1631233334271613,0.2256155303030303,0.1631233334271613
74,MG,Empresa de Pequeno Porte (EPP),335,5447590.71,4224,106502028.22,0.07930871212121213,0.051150112359803844,0.07930871212121213,0.051150112359803844
75,MG,Administração Pública,27,3553376.82,4224,106502028.22,0.006392045454545455,0.03336440516099685,0.006392045454545455,0.03336440516099685
76,MG,Entidades sem fins lucrativos,1450,48487233.77,4224,106502028.22,0.34327651515151514,0.45527052001151086,0.34327651515151514,0.45527052001151086
77,MG,Entidades Empresariais,89,5608359.33,4224,106502028.22,0.021070075757575756,0.05265964811876519,0.021070075757575756,0.05265964811876519
78,PA,Microempresa-ME,120,5405053.649999999,475,72158060.99,0.25263157894736843,0.07490574962579798,0.25263157894736843,0.07490574962579798
79,PA,MEI,77,1787069.86,475,72158060.99,0.16210526315789472,0.02476604603119339,0.16210526315789472,0.02476604603119339
80,PA,Empresa de Pequeno Porte (EPP),62,6797946.52,475,72158060.99,0.13052631578947368,0.09420910743350062,0.13052631578947368,0.09420910743350062
